"","species","height_mean"
"1","Aleena",79
"2","Besalisk",198
"3","Cerean",198
"4","Chagrian",196
"5","Clawdite",168
"6","Droid",131.2
"7","Dug",112
"8","Ewok",88
"9","Geonosian",183
"10","Gungan",208.666666666667
"11","Human",176.645161290323
"12","Hutt",175
"13","Iktotchi",188
"14","Kaleesh",216
"15","Kaminoan",221
"16","Kel Dor",188
"17","Mirialan",168
"18","Mon Calamari",180
"19","Muun",191
"20","Nautolan",196
"21","Neimodian",191
"22","Pau'an",206
"23","Quermian",264
"24","Rodian",173
"25","Skakoan",193
"26","Sullustan",160
"27","Tholothian",184
"28","Togruta",178
"29","Toong",163
"30","Toydarian",137
"31","Trandoshan",190
"32","Twi'lek",179
"33","Vulptereen",94
"34","Wookiee",231
"35","Xexto",122
"36","Yoda's species",66
"37","Zabrak",173
"38",NA,181.333333333333
